,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO,,,
1/9/2022 16:00,36899.67,16.11,8.04,1.79,4.4,7.98,58,,,
1/9/2022 17:00,36899.71,13.89,5.94,1.34,4.31,7.92,1,,,
1/9/2022 18:00,36899.76,11.67,7.34,1.34,0.7,7.87,0,,,
1/9/2022 19:00,36899.8,11.67,7.14,1.34,0.66,7.81,1,,,
1/9/2022 20:00,36899.84,10.56,6.46,2.68,0.79,7.75,1,,,
1/9/2022 21:00,36899.88,10,6.67,4.47,1.17,7.7,1,,,
1/9/2022 22:00,36899.92,10.56,4.62,3.13,1.4,7.64,1,,,
1/9/2022 23:00,36899.97,8.89,4.26,1.79,0.98,7.59,1,,,
1/10/2022 0:00,36900,9.44,3.13,3.58,0.84,7.53,1,,,
1/10/2022 1:00,36900.04,8.89,2.82,0.89,0.65,7.47,1,,,
1/10/2022 2:00,36900.08,8.33,3.12,0.89,0.4,7.42,1,,,
1/10/2022 3:00,36900.13,8.89,0.5,3.13,0.82,7.36,1,,,
1/10/2022 4:00,36900.17,8.89,0.25,0.89,0.7,7.3,1,,,
1/10/2022 5:00,36900.21,8.33,1.63,3.13,0.77,7.25,1,,,
1/10/2022 6:00,36900.25,8.33,0.47,3.58,0.84,7.19,2,,,
1/10/2022 7:00,36900.29,9.44,-0.84,2.68,0.99,7.13,24,,,
1/10/2022 8:00,36900.34,8.89,-0.01,0.89,1.01,7.08,93,,,
1/10/2022 9:00,36900.38,8.89,0.25,0.45,2.36,7.02,186,,,
1/10/2022 10:00,36900.42,7.78,2.18,1.79,3.3,6.96,325,,,
1/10/2022 11:00,36900.46,9.44,4.19,0.89,3.3,6.91,419,,,
1/10/2022 12:00,36900.5,11.11,4.49,0.89,3.4,6.85,383,,,
1/10/2022 13:00,36900.55,12.22,3.88,0.45,5.43,7.38,370,,,
1/10/2022 14:00,36900.59,13.33,5.66,0.89,1.41,8.09,311,,,
1/10/2022 15:00,36900.63,13.89,5.18,1.79,3.77,7.91,219,,,
1/10/2022 16:00,36900.67,13.89,5.69,2.24,4.57,7.73,65,,,
1/10/2022 17:00,36900.71,12.22,4.85,0.45,2.88,7.55,1,,,
1/10/2022 18:00,36900.76,11.67,5.47,1.34,0.07,7.37,0,,,
1/10/2022 19:00,36900.8,10.56,5.26,1.79,0.99,7.19,0,,,
1/10/2022 20:00,36900.84,9.44,4.8,2.24,0.82,7.01,1,,,
1/10/2022 21:00,36900.88,9.44,4.19,1.79,0.94,6.83,1,,,
1/10/2022 22:00,36900.92,8.33,4.3,2.68,1.36,6.65,1,,,
1/10/2022 23:00,36900.97,7.78,3.95,3.13,0.89,6.47,1,,,
1/11/2022 0:00,36901,7.78,3.19,2.24,1.03,6.29,1,,,
1/11/2022 1:00,36901.04,7.22,2.84,2.24,0.94,6.11,1,,,
1/11/2022 2:00,36901.08,6.67,2.87,3.13,1.08,5.93,1,,,
1/11/2022 3:00,36901.13,6.67,2.31,2.68,0.91,5.75,1,,,
1/11/2022 4:00,36901.17,6.11,1.38,3.58,1.05,5.57,1,,,
1/11/2022 5:00,36901.21,6.11,1.96,2.24,1.13,5.39,1,,,
