$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,T(C)
 35607.543,   12.90
 35607.584,   12.88
 35607.628,   12.92
 35607.668,   12.98
 35607.710,   12.98
 35607.752,   12.82
 35607.794,   12.81
 35607.834,   12.82
 35607.878,   12.80
 35607.917,   12.74
 35607.962,   12.73
 35608.004,   12.77
 35608.044,   12.79
 35608.084,   12.83
 35608.126,   12.89
 35608.168,   12.93
 35608.210,   12.92
 35608.254,   12.89
 35608.294,   12.85
 35608.336,   12.83
 35608.377,   12.82
 35608.417,   12.81
 35608.460,   12.80
 35608.504,   12.80
 35608.545,   12.79
 35608.587,   12.78
 35608.627,   12.76
 35608.667,   12.77
 35608.710,   12.79
 35608.751,   12.76
 35608.793,   12.78
 35608.837,   12.85
 35608.877,   12.87
 35608.920,   12.90
 35608.961,   12.95
 35609.004,   12.97
 35609.044,   12.96
 35609.084,   12.95
 35609.128,   12.96
 35609.169,   12.98
 35609.209,   12.98
 35609.254,   12.98
 35609.294,   12.99
 35609.336,   12.98
 35609.378,   12.95
 35609.417,   12.93
 35609.460,   12.92
 35609.504,   12.91
 35609.544,   12.91
 35609.586,   12.92
 35609.626,   12.92
 35609.669,   12.92
 35609.709,   12.94
 35609.752,   12.96
 35609.795,   12.96
 35609.835,   12.96
 35609.878,   12.97
 35609.918,   13.00
 35609.961,   12.99
 35610.003,   12.96
 35610.043,   13.01
 35610.087,   13.03
 35610.127,   13.00
 35610.167,   13.00
 35610.210,   12.98
 35610.253,   12.95
 35610.293,   12.95
 35610.336,   12.94
 35610.376,   12.95
 35610.419,   12.95
 35610.459,   12.92
 35610.503,   12.82
 35610.545,   12.82
 35610.585,   12.91
 35610.628,   12.93
 35610.668,   12.99
 35610.710,   12.98
 35610.750,   12.96
 35610.794,   13.02
 35610.834,   13.06
 35610.877,   13.08
 35610.920,   13.09
 35610.959,   13.09
 35611.003,   13.10
 35611.043,   13.10
 35611.086,   13.11
 35611.128,   13.13
 35611.169,   13.13
 35611.208,   13.10
 35611.253,   13.09
 35611.293,   13.07
 35611.334,   13.04
 35611.378,   12.95
 35611.418,   12.95
 35611.460,   12.93
 35611.503,   12.91
 35611.543,   12.91
 35611.584,   13.03
 35611.627,   13.07
 35611.669,   13.07
 35611.709,   13.05
 35611.752,   13.07
 35611.793,   13.12
 35611.836,   13.11
 35611.875,   13.09
 35611.918,   13.11
 35611.960,   13.13
 35612.003,   13.11
 35612.043,   13.11
 35612.085,   13.03
 35612.127,   13.03
 35612.169,   13.01
 35612.209,   12.99
 35612.253,   12.98
 35612.293,   12.97
 35612.333,   12.96
 35612.376,   12.97
 35612.418,   12.96
 35612.460,   12.96
 35612.502,   12.98
 35612.542,   13.00
 35612.584,   12.99
 35612.627,   13.01
 35612.669,   13.02
 35612.710,   12.98
 35612.752,   13.00
 35612.794,   13.08
 35612.834,   13.09
 35612.877,   13.11
 35612.919,   13.17
 35612.959,   13.25
 35613.003,   13.30
 35613.043,   13.20
 35613.085,   13.14
 35613.126,   13.05
 35613.169,   12.96
 35613.209,   12.90
 35613.253,   12.86
 35613.293,   12.88
 35613.334,   12.97
 35613.376,   13.07
 35613.419,   13.10
 35613.459,   13.09
 35613.503,   13.08
 35613.544,   13.09
 35613.584,   13.09
 35613.626,   13.09
 35613.669,   13.12
 35613.709,   13.15
 35613.752,   13.18
 35613.794,   13.20
 35613.834,   13.15
 35613.876,   13.10
 35613.919,   13.15
 35613.959,   13.26
 35614.003,   13.40
 35614.043,   13.49
 35614.085,   13.49
 35614.127,   13.38
 35614.169,   13.21
 35614.209,   13.08
 35614.253,   12.97
 35614.293,   12.93
 35614.335,   13.01
 35614.377,   13.19
 35614.417,   13.30
 35614.460,   13.30
 35614.503,   13.24
 35614.542,   13.18
 35614.585,   13.13
 35614.626,   13.09
 35614.667,   13.10
 35614.710,   13.13
 35614.750,   13.16
 35614.792,   13.17
 35614.835,   13.16
 35614.875,   13.13
 35614.918,   13.11
 35614.959,   13.14
 35615.003,   13.17
 35615.043,   13.21
 35615.085,   13.30
 35615.127,   13.37
 35615.168,   13.38
 35615.209,   13.35
 35615.252,   13.29
 35615.292,   13.22
 35615.334,   13.16
 35615.377,   13.19
 35615.418,   13.24
 35615.459,   13.28
 35615.502,   13.29
 35615.543,   13.29
 35615.585,   13.30
 35615.626,   13.38
 35615.667,   13.36
 35615.709,   13.35
 35615.752,   13.24
 35615.792,   13.26
 35615.835,   13.38
 35615.876,   13.38
 35615.917,   13.26
 35615.959,   13.24
 35616.004,   13.25
 35616.045,   13.24
 35616.084,   13.21
 35616.126,   13.18
