JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37741.042,   192.448,   175.652,    16.467,     0.000,     0.000,     0.000,     0.250,    83.152,  2259.720,     1.000,    12.005,  -185.074,     0.000,   274.972,   387.678,    55.980,    16.389,     0.000,
 37742.042,   198.328,   175.840,    16.843,     0.000,     0.000,     0.000,     0.250,    83.340,  2259.720,     1.000,    12.112,  -178.465,     0.000,   288.084,   389.693,    66.763,    10.093,     0.000,
 37743.042,   206.442,   175.980,    17.005,     0.000,     0.000,     0.000,     0.250,    83.480,  2259.720,     1.000,    12.126,  -169.634,     0.000,   298.288,   390.578,    70.940,     6.403,     0.000,
 37744.043,   238.641,   176.045,    17.455,     0.000,     0.000,     0.000,     0.250,    83.545,  2259.720,     1.000,    12.275,  -146.336,     0.000,   305.234,   393.011,    55.556,     3.003,     0.000,
 37745.042,   194.031,   176.171,    18.013,     0.000,     0.000,     0.000,     0.250,    83.671,  2259.720,     1.000,    12.388,  -185.670,     0.000,   291.373,   396.034,    63.607,    17.402,     0.000,
 37746.043,   238.678,   176.312,    17.316,     0.000,     0.000,     0.000,     0.250,    83.812,  2259.720,     1.000,    12.340,  -228.521,     0.000,   269.118,   392.250,    68.759,    36.631,     0.000,
 37747.044,   330.691,   176.245,    16.509,     0.000,     0.000,     0.000,     0.250,    83.745,  2259.720,     1.000,    12.218,  -223.835,     0.000,   258.754,   387.939,    65.409,    29.241,     0.000,
 37748.044,   337.046,   176.036,    16.887,     0.000,     0.000,     0.000,     0.250,    83.536,  2259.720,     1.000,    12.385,  -186.054,     0.000,   283.474,   389.940,    64.000,    15.589,     0.000,
 37749.044,   302.079,   175.772,    17.153,     0.001,     0.000,     0.000,     0.250,    83.272,  2259.720,     1.000,    12.456,  -175.480,     0.000,   284.728,   391.370,    56.122,    12.716,     0.000,
 37750.043,   237.909,   175.550,    17.423,     0.001,     0.000,     0.000,     0.250,    83.050,  2259.720,     1.000,    12.466,  -125.696,     0.000,   312.318,   392.824,    46.450,    -1.259,     0.000,
