JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  34,SEG  35,SEG  36,SEG  39,SEG  40,SEG  41,SEG  44,SEG  45,SEG
 35576.045, 162.760, 162.760, 162.760, 163.316, 161.109, 161.112, 161.112, 161.114, 161.115, 161.115, 161.115, 161.116, 161.116, 161.116, 161.117, 161.117, 161.117, 161.118, 161.119, 161.119, 161.119, 161.119, 161.119, 161.119, 161.119, 161.119, 161.119, 161.119, 161.119, 161.119, 162.760, 161.119, 161.119, 161.120, 161.120, 161.120, 161.119, 161.119,
 35577.044, 162.760, 162.760, 162.760, 163.316, 161.151, 161.154, 161.154, 161.157, 161.157, 161.158, 161.158, 161.158, 161.158, 161.158, 161.158, 161.159, 161.159, 161.160, 161.161, 161.161, 161.161, 161.161, 161.161, 161.161, 161.161, 161.161, 161.161, 161.161, 161.161, 161.162, 162.760, 161.162, 161.161, 161.160, 161.160, 161.160, 161.161, 161.161,
 35578.045, 162.760, 162.760, 162.760, 163.316, 161.186, 161.190, 161.190, 161.192, 161.193, 161.193, 161.194, 161.194, 161.194, 161.194, 161.195, 161.196, 161.196, 161.197, 161.198, 161.198, 161.198, 161.198, 161.198, 161.198, 161.197, 161.197, 161.197, 161.198, 161.198, 161.198, 162.760, 161.198, 161.198, 161.197, 161.197, 161.197, 161.197, 161.197,
 35579.046, 162.760, 162.760, 162.760, 163.316, 161.249, 161.252, 161.252, 161.254, 161.255, 161.256, 161.256, 161.256, 161.256, 161.256, 161.257, 161.257, 161.258, 161.259, 161.260, 161.260, 161.260, 161.260, 161.260, 161.260, 161.260, 161.259, 161.259, 161.259, 161.259, 161.259, 162.760, 161.260, 161.260, 161.259, 161.259, 161.260, 161.259, 161.259,
 35580.047, 162.760, 162.760, 162.760, 163.316, 161.320, 161.324, 161.324, 161.326, 161.327, 161.327, 161.327, 161.328, 161.328, 161.328, 161.328, 161.329, 161.329, 161.330, 161.331, 161.331, 161.331, 161.331, 161.331, 161.331, 161.331, 161.331, 161.331, 161.331, 161.331, 161.331, 162.760, 161.331, 161.332, 161.331, 161.331, 161.331, 161.331, 161.331,
 35581.042, 162.760, 162.760, 162.760, 162.036, 161.428, 161.454, 161.454, 161.456, 161.457, 161.457, 161.457, 161.458, 161.458, 161.458, 161.459, 161.459, 161.460, 161.461, 161.462, 161.463, 161.462, 161.462, 161.462, 161.462, 161.462, 161.462, 161.462, 161.462, 161.462, 161.462, 162.760, 161.463, 161.463, 161.462, 161.462, 161.462, 161.462, 161.462,
 35582.042, 162.760, 162.760, 162.760, 161.981, 161.645, 161.669, 161.670, 161.671, 161.672, 161.672, 161.673, 161.673, 161.673, 161.674, 161.675, 161.675, 161.676, 161.677, 161.677, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678, 162.760, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678, 161.678,
 35583.042, 162.760, 162.760, 162.760, 162.011, 161.889, 161.906, 161.907, 161.908, 161.909, 161.909, 161.909, 161.910, 161.910, 161.911, 161.911, 161.912, 161.912, 161.913, 161.914, 161.914, 161.914, 161.914, 161.915, 161.915, 161.915, 161.915, 161.915, 161.915, 161.915, 161.915, 162.760, 161.915, 161.915, 161.914, 161.914, 161.915, 161.915, 161.914,
 35584.043, 162.760, 162.760, 162.760, 162.120, 162.080, 162.093, 162.093, 162.095, 162.096, 162.096, 162.096, 162.097, 162.097, 162.098, 162.098, 162.098, 162.099, 162.100, 162.101, 162.101, 162.102, 162.102, 162.102, 162.102, 162.102, 162.102, 162.102, 162.102, 162.102, 162.102, 162.760, 162.102, 162.101, 162.101, 162.101, 162.102, 162.102, 162.102,
 35585.043, 162.760, 162.760, 162.760, 162.218, 162.206, 162.217, 162.217, 162.219, 162.220, 162.220, 162.220, 162.221, 162.221, 162.221, 162.222, 162.222, 162.223, 162.224, 162.225, 162.225, 162.226, 162.226, 162.226, 162.226, 162.226, 162.225, 162.226, 162.226, 162.226, 162.225, 162.760, 162.226, 162.226, 162.225, 162.225, 162.225, 162.226, 162.226,
