 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37693.045,   1,  0.27128134E+09,   0.00000000E+00,  -0.13880173E+09,   0.00000000E+00,   0.00000000E+00,  -0.26476208E+07,   0.00000000E+00,   0.00000000E+00,   0.15276240E-10,
 37694.043,   1,  0.27541691E+09,   0.00000000E+00,  -0.14147082E+09,   0.00000000E+00,   0.00000000E+00,  -0.27048987E+07,   0.00000000E+00,   0.00000000E+00,   0.14601198E-10,
 37695.043,   1,  0.28040429E+09,   0.00000000E+00,  -0.14395324E+09,   0.00000000E+00,   0.00000000E+00,  -0.27796982E+07,   0.00000000E+00,   0.00000000E+00,   0.14257761E-10,
 37696.044,   1,  0.28552674E+09,   0.00000000E+00,  -0.14633944E+09,   0.00000000E+00,   0.00000000E+00,  -0.28378568E+07,   0.00000000E+00,   0.00000000E+00,   0.15474865E-10,
 37697.043,   1,  0.29114106E+09,   0.00000000E+00,  -0.14871605E+09,   0.00000000E+00,   0.00000000E+00,  -0.29150206E+07,   0.00000000E+00,   0.00000000E+00,   0.16448752E-10,
 37698.043,   1,  0.29723528E+09,   0.00000000E+00,  -0.15123972E+09,   0.00000000E+00,   0.00000000E+00,  -0.29678565E+07,   0.00000000E+00,   0.00000000E+00,   0.16252552E-10,
 37699.044,   1,  0.30350874E+09,   0.00000000E+00,  -0.15398140E+09,   0.00000000E+00,   0.00000000E+00,  -0.30086268E+07,   0.00000000E+00,   0.00000000E+00,   0.17207756E-10,
 37700.044,   1,  0.31020960E+09,   0.00000000E+00,  -0.15685043E+09,   0.00000000E+00,   0.00000000E+00,  -0.30767799E+07,   0.00000000E+00,   0.00000000E+00,   0.16578472E-10,
 37701.045,   1,  0.31724231E+09,   0.00000000E+00,  -0.15972820E+09,   0.00000000E+00,   0.00000000E+00,  -0.31396724E+07,   0.00000000E+00,   0.00000000E+00,   0.16795374E-10,
 37702.045,   1,  0.32433088E+09,   0.00000000E+00,  -0.16236176E+09,   0.00000000E+00,   0.00000000E+00,  -0.32210024E+07,   0.00000000E+00,   0.00000000E+00,   0.15619230E-10,
 37703.045,   1,  0.33186012E+09,   0.00000000E+00,  -0.16470618E+09,   0.00000000E+00,   0.00000000E+00,  -0.60517854E+07,   0.00000000E+00,   0.00000000E+00,   0.15243159E-10,
 37704.047,   1,  0.33917853E+09,   0.00000000E+00,  -0.16703988E+09,   0.00000000E+00,   0.00000000E+00,  -0.56061692E+07,   0.00000000E+00,   0.00000000E+00,   0.15246743E-10,
 37705.043,   1,  0.34569848E+09,   0.00000000E+00,  -0.16942549E+09,   0.00000000E+00,   0.00000000E+00,  -0.33558741E+07,   0.00000000E+00,   0.00000000E+00,   0.15356339E-10,
 37706.042,   1,  0.35220712E+09,   0.00000000E+00,  -0.17178296E+09,   0.00000000E+00,   0.00000000E+00,  -0.34052795E+07,   0.00000000E+00,   0.00000000E+00,   0.15808619E-10,
 37707.042,   1,  0.35877984E+09,   0.00000000E+00,  -0.17406343E+09,   0.00000000E+00,   0.00000000E+00,  -0.34520673E+07,   0.00000000E+00,   0.00000000E+00,   0.15734306E-10,
 37708.042,   1,  0.36560884E+09,   0.00000000E+00,  -0.17623279E+09,   0.00000000E+00,   0.00000000E+00,  -0.34937726E+07,   0.00000000E+00,   0.00000000E+00,   0.14365400E-10,
 37709.042,   1,  0.37335934E+09,   0.00000000E+00,  -0.17827801E+09,   0.00000000E+00,   0.00000000E+00,  -0.35443617E+07,   0.00000000E+00,   0.00000000E+00,   0.13116635E-10,
